date,closed,volume,ema6,ema12,ema26,macd,wrsi6,K9,D9
 99/01/04,59.5,12837131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 99/01/05,59.4,23570448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 99/01/06,60.4,43536259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 99/01/07,59.8,26256235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 99/01/08,60.4,19634419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 99/01/11,59.9,20534215.0,59.94166666666666,0.0,0.0,0.0,0.0,0.0,0.0
 99/01/12,59.9,21526313.0,59.98611111111111,0.0,0.0,0.0,0.0,0.0,0.0
 99/01/13,58.7,23415587.0,59.599074074074075,0.0,0.0,0.0,37.735849056603776,50.0,50.0
 99/01/14,59.0,14720395.0,59.39938271604939,0.0,0.0,0.0,43.4931506849315,38.46153846153844,46.15384615384615
 99/01/15,59.0,21557878.0,59.33292181069959,0.0,0.0,0.0,43.49315068493151,30.76923076923073,41.025641025641015
 99/01/18,59.0,10274707.0,59.205281207133055,0.0,0.0,0.0,43.493150684931514,26.68566001899332,36.24564735675845
 99/01/19,59.8,37076821.0,59.461854138088704,59.63958333333334,0.0,0.0,60.37616229923923,33.839822728711546,35.44370581407615
 99/01/20,58.6,26197841.0,59.274569425392464,59.516319444444456,0.0,0.0,39.26137101851945,26.008157681210037,32.29852310312078
 99/01/21,58.4,19498376.0,58.999712950261646,59.33859953703705,0.0,0.0,36.69478606403788,21.505438454140005,28.70082822012719
 99/01/22,56.8,27047790.0,58.34147530017443,58.95299961419753,0.0,0.0,22.545765026224743,15.112152767876239,24.17126973604354
 99/01/25,56.1,24213430.0,57.64431686678296,58.50249967849794,0.0,0.0,18.750121472769656,11.99784543499444,20.11346163569384
 99/01/26,54.0,35921859.0,56.64621124452197,57.86041639874828,0.0,0.0,11.674534044282472,7.998563623329627,16.075162298239103
 99/01/27,54.1,23899529.0,55.855807496347985,57.26284699895691,0.0,0.0,13.53894185459461,7.158859767151252,13.103061454543152
 99/01/28,55.0,19421143.0,55.58720499756532,56.89403916579743,0.0,0.0,29.590283167082053,10.708646237461556,12.304923048849288
 99/02/01,53.0,26616006.0,54.866469998376886,56.31586597149786,0.0,0.0,22.813751494472484,8.34391676874946,10.984587622149347
 99/02/02,53.0,27653486.0,54.24431333225126,55.76322164291488,0.0,0.0,22.81375149447249,9.677837516614867,10.549004253637854
 99/02/03,53.3,15013043.0,53.89620888816751,55.3360180357624,0.0,0.0,28.69263982780427,12.642367868219422,11.246792125165044
 99/02/04,53.2,10974463.0,53.65580592544501,54.975848363135334,0.0,0.0,27.84433465770976,15.324796969617566,12.606127073315884
 99/02/05,49.8,43696160.0,52.52887061696334,54.192373635946105,0.0,0.0,12.620590995696917,11.117432213979258,12.109895453537009
 99/02/06,49.55,14411215.0,51.46924707797556,53.385311363288416,0.0,0.0,12.03976637783923,12.43170179727131,12.217164234781777
 99/02/08,50.5,13501212.0,51.06699805198371,52.86484280274035,56.65240384615384,0.0,27.29719458350195,18.19771110809079,14.210679859218112
 99/02/09,51.0,19454018.0,50.96966536798914,52.51653566895029,56.20029585798815,0.0,34.47556538524861,24.29396956755603,17.571776428664084
 99/02/10,51.0,18745591.0,51.038110245326095,52.29294639079191,55.813734638142904,0.0,34.47556538524861,29.62881553259955,21.59078946330924
 99/02/22,53.2,27033420.0,51.6504068302174,52.38995532565993,55.587678127516526,0.0,59.69190913716915,48.407514448633634,30.529697791750703
 99/02/23,53.3,12318172.0,52.108604553478266,52.49579610471661,55.39054904078448,0.0,60.520628767659964,63.135873829953255,41.39842313781822
 99/02/24,52.4,16431548.0,52.297403035652174,52.525663420597176,55.18166065303182,0.0,49.52409730272169,67.87674607531473,50.22453078365039
 99/02/25,51.4,20128201.0,52.089935357101446,52.38388618383098,54.91191752587552,0.0,39.86596218479178,64.74801939612176,55.06569365447418
 99/03/01,52.5,20840462.0,52.25162357140096,52.41573848652582,54.732154639269716,0.0,49.348788187605976,69.58044060370382,59.90394263755073
 99/03/02,52.4,18788644.0,52.384415714267305,52.45478207210485,54.57198889778743,-2.7530513855797136,48.2084546820969,69.84375052592598,63.21721193367582
 99/03/03,53.4,33410824.0,52.74794380951153,52.62481839342072,54.48760513641916,-2.57499845706346,59.45205678640627,72.64945687235645,66.36129357990269
 99/03/04,52.6,20185496.0,52.823629206341025,52.68318199451727,54.371250895156145,-2.397612545778543,49.19859470529592,64.11924575804157,65.61394430594898
 99/03/05,53.5,18146641.0,53.049086137560685,52.81931832876439,54.30423159552875,-2.215072689975706,58.79282710447443,66.98858808111864,66.0721588976722
 99/03/08,53.9,10054521.0,53.33272409170712,52.99943194063699,54.27313685741115,-2.0267991353353976,62.56357584836121,72.94188700357404,68.36206826630614
 99/03/09,54.0,12679642.0,53.530149394471415,53.15369328386416,54.24635709914875,-1.8399720713252372,63.563826384176274,77.92085396197866,71.54833016486366
 99/03/10,54.4,8003038.0,53.770099596314274,53.3364110698868,54.24663732229116,-1.654022907541061,67.70557070186517,84.30017715112302,75.79894582695012
 99/03/11,53.1,14224357.0,53.61339973087618,53.330342558239,54.173819066730296,-1.4919136277311074,46.90967756277621,72.2495008167981,74.61579749023278
 99/03/12,53.5,7030451.0,53.550599820584125,53.3461187985325,54.11621760005873,-1.3475506624901321,52.317361918703405,65.62665133818287,71.61941543954947
