closed,volume,ema6,ema12,ema26,macd,wrsi6,K9,D9
21.95,781593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,753432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,430622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.65,2339271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.6,702094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.5,526488.0,22.31041666666667,0.0,0.0,0.0,0.0,0.0,0.0
22.15,571406.0,22.28611111111111,0.0,0.0,0.0,0.0,0.0,0.0
21.7,564285.0,22.119907407407407,0.0,0.0,0.0,40.22988505747127,50.0,50.0
22.0,479340.0,22.07993827160494,0.0,0.0,0.0,52.11786372007367,40.35087719298244,46.783625730994146
22.8,1399306.0,22.257458847736626,0.0,0.0,0.0,70.74049065946433,47.953216374269,47.173489278752434
22.85,2192846.0,22.504972565157754,0.0,0.0,0.0,71.5697852425316,53.898635477582864,49.41520467836258
21.8,1726859.0,22.349148376771836,22.29479166666667,0.0,0.0,41.750228359435205,39.44119558154646,46.09053497942387
22.2,905290.0,22.28276558451456,22.270659722222224,0.0,0.0,51.06988020805203,36.8204461771713,43.00050537867301
22.1,759199.0,22.25517705634304,22.258883101851854,0.0,0.0,48.73087635065413,33.31889394267561,39.77330156667387
21.85,433156.0,22.149284704228695,22.205319251543212,0.0,0.0,42.84408997259614,26.598560874064443,35.381721335804066
21.2,821573.0,21.907856469485797,22.075266042952677,0.0,0.0,31.11629178476827,17.732373916042963,29.49860552921703
21.0,1089395.0,21.617737646323864,21.902305035793898,0.0,0.0,28.260041613561334,14.85188564099834,24.61636556647747
20.85,670524.0,21.382658430882575,21.73733752982825,0.0,0.0,26.103537533380724,11.113378306120124,20.115369813025023
20.35,590206.0,21.11343895392172,21.54361460819021,0.0,0.0,19.99907548453033,7.408918870746749,15.879886165598933
20.65,413685.0,20.929792635947813,21.380095506825175,0.0,0.0,31.52810782360911,9.701184009069232,13.820318780089032
21.1,470781.0,20.944861757298543,21.31257958902098,0.0,0.0,45.63134851687925,18.319307857898014,15.319981806025359
21.15,294553.0,21.004907838199028,21.28131632418415,0.0,0.0,47.08455646891035,24.8054644978579,18.48180936996954
20.45,705423.0,20.865771892132685,21.16568027015346,0.0,0.0,32.49354077588636,19.10107889600781,18.68823254531563
20.5,264611.0,20.75218126142179,21.058900225127882,0.0,0.0,34.24024918086574,16.437756301042228,17.938073797224494
19.95,892818.0,20.509787507614526,20.886583520939904,0.0,0.0,25.522980970009122,13.109041835103378,16.328396476517455
19.2,1205773.0,20.148191671743017,20.64298626744992,21.576923076923073,0.0,18.01702035778599,9.533012017053055,14.063268323362655
18.9,907303.0,19.773794447828678,20.3733218895416,21.380621301775143,0.0,15.788318384736849,7.0497857891464415,11.72544081195725
17.7,1109232.0,19.182529631885785,19.977768241284668,21.120573509330903,0.0,9.906339396970054,4.699857192764294,9.383579605559598
18.7,975297.0,18.900853087923856,19.704390201070556,20.906490931690065,0.0,34.36050398404284,15.734864144769695,11.500674451962965
18.8,339529.0,18.871402058615903,19.55574183422546,20.745414706175445,0.0,36.4310499772831,23.904543576187937,15.635297493371288
18.25,387000.0,18.697601372410602,19.35478486185455,20.561152036469643,0.0,30.1533668423149,25.219062806066223,18.829885930936268
17.9,671682.0,18.494234248273735,19.14357071821213,20.370871110587363,0.0,26.646962364779505,23.854962058504242,20.50491130679226
17.55,422169.0,18.204489498849156,18.890475598510108,20.1596502559268,0.0,23.383906475932655,20.069974705669512,20.359932439751343
17.85,401868.0,18.044659665899438,18.69622966542509,19.97236946700935,-1.1962005376945948,31.95449599439128,21.15776091489082,20.625875264797838
18.0,302282.0,18.01310644393296,18.57185805452091,19.81680258493171,-1.2059493362378362,36.23434794704453,26.424014522970708,22.558588350855462
17.75,236208.0,17.92123762928864,18.432798378767423,19.656856232244657,-1.2095710396857158,32.18559854623051,28.14232547145417,24.419834057721697
17.8,196990.0,17.884991752859094,18.32941531563952,19.514982675918144,-1.2047703038042976,33.9566881413706,30.165059086232628,26.33490906722534
17.7,239789.0,17.81916116857273,18.2224294296996,19.374407085462902,-1.194211774196099,31.95381884400388,27.729087009869346,26.799635048106676
17.7,92575.0,17.783607445715152,18.137441191416332,19.24656807888883,-1.177194796851379,31.953818844003884,28.009867530389062,27.20304587553414
18.0,202040.0,17.818238297143434,18.095784326180276,19.14202438051277,-1.1510038483476017,45.77158759116982,35.957195637543336,30.12109579620387
