closed,volume,ema6,ema12,ema26,macd,wrsi6,K9,D9
9.97,250313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.05,345307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1,236733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.05,245813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.98,245039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.89,92158.0,9.992083333333333,0.0,0.0,0.0,0.0,0.0,0.0
9.67,197801.0,9.893888888888888,0.0,0.0,0.0,0.0,0.0,0.0
9.34,691086.0,9.712592592592593,0.0,0.0,0.0,13.598326359832638,50.0,50.0
9.43,363811.0,9.600895061728394,0.0,0.0,0.0,23.91304347826087,45.396825396825385,48.46560846560846
9.28,325251.0,9.492263374485596,0.0,0.0,0.0,19.303985722784056,37.56613756613752,44.83245149911815
9.2,117624.0,9.40650891632373,0.0,0.0,0.0,17.184223347243112,29.805996472663068,39.82363315696646
9.45,207315.0,9.427672610882487,9.696458333333334,0.0,0.0,41.33970502183078,33.203997648442,37.617087987458305
9.35,158801.0,9.400948407254992,9.63829861111111,0.0,0.0,36.262736870921636,32.13599843229463,35.79005813573708
9.32,213013.0,9.383132271503328,9.589832175925926,0.0,0.0,34.72737238653284,30.998467039969455,34.192861103814536
9.21,180938.0,9.337088181002219,9.532360146604939,0.0,0.0,29.273782982833175,27.332311359979652,31.90601118920291
9.15,204081.0,9.293058787334813,9.477800122170782,0.0,0.0,26.545204786264527,23.51254619765838,29.10818952535473
9.15,152053.0,9.247039191556542,9.424000101808986,0.0,0.0,26.54520478626452,20.513740475858274,26.243373175522578
9.14,176805.0,9.208859461037695,9.375416751507489,0.0,0.0,25.964377890544316,19.736433044511625,24.07439313185226
9.22,100182.0,9.204239640691798,9.345347292922908,0.0,0.0,38.81628834687394,23.25863213068457,23.8024727981297
9.21,124354.0,9.208659760461199,9.32403941076909,0.0,0.0,37.83121513051195,25.101714349749372,24.235553315336258
9.1,110155.0,9.174939840307466,9.287949508974242,0.0,0.0,28.338256900941506,22.582429449540495,23.684512026737668
9.13,103250.0,9.151626560204978,9.257457924145202,0.0,0.0,33.776669033432356,26.166064077471514,24.51169604364895
9.13,93955.0,9.145251040136651,9.236631603454335,0.0,0.0,33.77666903343236,30.777376051647753,26.60025604631522
9.14,101589.0,9.136000693424434,9.216776336211945,0.0,0.0,36.10421463411487,34.592324775172635,29.26427895593436
9.19,196255.0,9.14483379561629,9.207730280176621,0.0,0.0,47.232006788133425,43.06154985011509,33.8633692539946
9.18,273243.0,9.166555863744193,9.20810856681385,9.424519230769231,0.0,45.337041701313844,47.87436656674341,38.533701691577534
9.18,156013.0,9.165203909162797,9.200507139011542,9.404363905325443,0.0,45.33704170131384,51.082911044495624,42.71677147588357
9.03,319494.0,9.121802606108531,9.172922615842952,9.375951297223486,0.0,24.288571447845626,43.68490365929332,43.039482203686816
8.98,46001.0,9.079535070739022,9.143268846535792,9.346647351283217,0.0,20.48447005572879,35.941450924377364,40.673471777250334
9.05,283659.0,9.067190047159349,9.126474038779826,9.323251401184509,0.0,37.04848397607257,36.082179404130386,39.14304098621035
9.03,79401.0,9.055626698106233,9.110811698983188,9.3008859087857,0.0,34.57882460274209,34.660846875480786,37.64897628263383
9.13,205255.0,9.062084465404155,9.10484308248599,9.283510069648338,0.0,53.269294011605226,41.28904943213874,38.862333999135465
9.05,58652.0,9.068056310269435,9.100702568738326,9.26785544890616,0.0,41.80388103589154,39.647245075971306,39.12397102474741
