,closed,volume,ema6,ema12,ema26,macd,wrsi6,K9,D9
5410,139.0,27408864.0,139.2780640147116,139.42493278015922,140.51008948630914,-1.240843890620538,50.031968762574074,63.2980774302795,55.88390430586364
5411,136.0,38176255.0,138.31037600980773,138.9166106501327,140.19200567967,-1.247754118403889,35.390942630908015,44.76282085095556,52.176876487560946
5412,137.0,39062686.0,137.8735840065385,138.59717554177726,139.94646678123382,-1.2680615426144235,42.1611722247212,37.534188259611405,47.295980411577766
5413,134.0,45080466.0,136.70738933769232,137.89347961814772,139.51789241344662,-1.3393317931513178,30.612900912141917,25.02279217307427,39.8715843320766
5414,134.0,35777744.0,136.01325955846156,137.3487330151231,139.14151607395073,-1.4300220462865818,30.61290091214192,16.68186144871618,32.14167670428979
5415,135.5,30500205.0,135.8005063723077,137.0197775126026,138.85178406826222,-1.5104189481611918,42.04283951448284,17.371240965810788,27.21819812479679
5416,138.5,37085996.0,136.5336709148718,137.18314792716882,138.78626221685744,-1.5289580164666774,58.463925032675206,30.330827310540524,28.255741186711365
5417,139.5,40479318.0,137.43911394324786,137.52762327264068,138.82193435402226,-1.4820286294496579,62.69212280365777,44.66499598480479,33.72549278607584
5418,134.5,33815561.0,136.79274262883192,137.1896860605339,138.5664009421744,-1.4609658798878282,38.92047726329101,32.34076655397242,33.263917375374696
5419,136.5,27514927.0,136.52849508588795,136.9914050504449,138.36898548508407,-1.444288790838094,48.3255722027794,34.38102385649444,33.63628620241461
5420,134.0,28577967.0,135.81066339059197,136.55533754203742,138.0617558323853,-1.4567146907400512,39.258068586503455,22.92068257099629,30.06441832527517
5421,134.0,39658057.0,135.2071089270613,136.12944795169787,137.74931307604797,-1.4893447774620607,39.258068586503455,23.123592302232822,27.75080965092772
5422,133.0,30591687.0,134.38807261804087,135.5662066264149,137.36475053173658,-1.5511846030339844,35.42900823793615,20.9712837570441,25.49096768629985
5423,129.0,65582829.0,132.46704841202725,134.40933885534574,136.69246202929529,-1.6975723172170973,24.13139066529408,21.75863361580718,24.246856329468958
5424,130.5,65988387.0,132.06136560801818,133.88278237945477,136.27381110396487,-1.8362635986756992,33.65206670140787,25.61686685498256,24.703526504640156
5425,128.5,45838052.0,130.91591040534544,133.0064853162123,135.6854410190445,-2.0048020195070015,28.02511648312987,23.74457790332171,24.383876970867338
5426,128.0,43697151.0,130.06894027023029,132.23457109684358,135.12309940219492,-2.18154727667587,26.686447059589764,22.239975012470882,23.669242984735188
5427,126.0,40366795.0,128.8376268468202,131.25797591403634,134.45016867894915,-2.3836763743232594,21.70899697999376,17.725200732951603,21.68789556747399
5428,124.0,38956377.0,127.26675123121346,130.06914659503028,133.6559249344146,-2.6242967673354722,17.73872840516059,14.380903052736967,19.252231395894984
5429,126.0,41823656.0,126.8028341541423,129.37012216252523,133.05739224715194,-2.8368914307937185,32.54303782523977,17.279576394132338,18.59467972864077
5430,125.0,47213363.0,126.32688943609487,128.70426846877103,132.46643899737103,-3.021947250354974,29.371498572983832,17.868923945294572,18.352761134192036
5431,126.0,38767923.0,126.00959295739658,128.14939039064254,131.92094368988094,-3.1718684601316602,36.76653360796196,21.43642548733924,19.38064925190777
5432,121.0,67341681.0,124.63139530493106,127.10365865886878,131.14817879065933,-3.3463987944634384,22.580819684274502,14.290950324892826,17.684082942902787
5433,115.0,118882318.0,121.71259686995404,125.23221554905733,129.97331888368552,-3.625339702496389,14.515841213808221,14.28920497849998,16.55245695476852
5434,123.5,99479290.0,121.85006457996936,124.71434629088111,129.36960204647895,-3.831322913116678,46.810853423357194,30.47851760471427,21.194477171417102
5435,122.5,65899783.0,121.98337638664623,124.3036219090676,128.82194035059595,-3.968722018799012,44.440614184693075,41.15234506980951,27.847099804214576
5436,124.0,53549076.0,122.57225092443082,124.21135159088966,128.43179109285782,-4.019065515432841,49.08142995630284,52.990452268761906,36.22821729239702
5437,125.0,41879827.0,123.50650061628721,124.40529299240806,128.19665331648415,-3.973524477161489,52.270842153696194,63.10474595695238,45.18706018058214
5438,129.0,57088355.0,124.87933374419147,124.94191082700672,128.1526799844469,-3.820973413217227,63.30389423433963,75.40316397130158,55.25909477748862
5439,124.0,42394536.0,124.8778891627943,124.9307590225056,127.90055075487408,-3.650737077047477,47.00530454947107,73.50109921319095,61.339762922722734
5440,125.5,37232124.0,125.00192610852953,124.98396585208799,127.69666223526838,-3.463128938274059,51.500602134553745,75.26335907142023,65.98096163895524
5441,127.0,24054041.0,125.54295073901967,125.25747154340667,127.61422667870927,-3.2418541776797682,55.98128917922183,79.46850200720944,70.4768084283733
5442,125.0,23047166.0,125.4036338260131,125.23539295283888,127.42274770342395,-3.0309542922608292,48.77190792929196,74.71813177292223,71.89058287655628
5443,122.5,26152920.0,124.68575588400874,124.90449412736574,127.10176711085288,-2.864218030506091,40.87580692018438,60.3384036380885,68.03985646373368
5444,123.0,15112954.0,124.08217058933917,124.56624510613811,126.77663117924882,-2.7334516390270154,43.087191168180205,44.9875071872971,60.35574003825482
5445,129.0,53969621.0,125.51311372622611,125.20103758844841,126.8995826269989,-2.5264703189317106,63.009858103438674,63.3250047915314,61.34549495601368
5446,125.0,34029707.0,125.59207581748406,125.29253132370701,126.81115319415284,-2.3249006292345338,49.224730547127194,56.50238414673522,59.73112468625419
5447,127.5,24548989.0,125.9363838783227,125.5146094364225,126.79683371767955,-2.116365359639036,56.381744203793225,63.85873228829967,61.10699388693602
5448,127.5,25582357.0,126.45758925221514,125.84550786368543,126.8509234317042,-1.894175401314984,56.38174420379324,68.76296438267597,63.65898405218267
5449,126.0,22223400.0,126.43005950147676,125.93375655307119,126.81431393695773,-1.6914517978292953,50.2607456241526,64.88959530273637,64.06918780236724
5450,129.5,44137380.0,127.32837300098451,126.46563046089265,126.99205901873022,-1.4584471498309486,61.85574931228997,74.50973020182424,67.54936860218623
5451,131.0,52529479.0,128.51058200065634,127.20052538407721,127.2907467865202,-1.1848020003533573,65.93923031011947,81.25210083630388,72.11694601355879
5452,131.5,32590064.0,129.29872133377089,127.81293782006435,127.56645857217248,-0.8985457507043119,67.33787029988883,87.50140055753593,77.24509752821784
5453,129.5,35271713.0,129.32414755584725,128.0732815167203,127.70557714354383,-0.6452957259281564,56.2507014084604,82.77871148280173,79.08963551307913
