date,closed,volume,ema6,ema12,ema26,macd,wrsi6,K9,D9
101/07/30,614.0,855560.0,601.4836603768376,594.2353113408224,588.889978340593,2.785175530508768,75.51171370017597,88.82082329788692,77.44071704659133
101/09/03,643.0,1818053.0,613.3224402512251,601.3627594506853,592.5907492374704,3.982542467049997,84.32913165386093,92.09676508147417,82.32606639155227
101/09/04,635.0,1688727.0,620.8816268341501,607.1356328755711,595.9299223730496,5.427176074144292,71.90213804307935,90.28673227653833,84.97962168654762
101/09/05,639.0,960852.0,626.1710845561,612.0713607296426,599.0699283443536,6.942027336373241,74.18467246970654,90.85782151769222,86.93902163026247
101/09/06,642.0,2916863.0,632.8640563707334,617.7678006080355,602.6991646255572,8.567349065594257,75.94348399246523,87.53817314662626,87.13873880238373
101/09/07,643.0,1540887.0,637.5760375804889,622.6398338400296,606.106921192822,10.160461781916922,76.58168473100511,85.6996060677883,86.65902789085192
101/09/10,654.0,957356.0,642.4673583869926,627.574861533358,609.6563887933742,11.712063973530302,82.6554866235111,88.18329902236114,87.16711826802167
101/09/11,642.0,960640.0,643.3115722579951,630.4790512777982,612.3751281169608,12.99043581099173,61.70496316477125,82.1806788804045,85.50497180548261
101/09/12,651.0,1816815.0,646.0410481719967,633.9825427314985,615.3847336464254,14.111910465808004,68.81819484846791,82.4466937216881,84.48554577755111
101/09/13,645.0,1343301.0,646.4440321146645,636.193785609582,617.8359079813157,14.961103898299672,59.91492619429964,76.91568199332052,81.96225784947426
101/09/14,652.0,3269666.0,649.2960214097764,639.3281546746517,620.6946842904453,15.695577195481032,66.06190479299265,71.99784204960106,78.64078591618319
101/09/17,660.0,2214480.0,653.1973476065176,642.9401288955431,623.7950931911802,16.385468897257418,71.95908486827919,73.63958700742636,76.97371961326424
101/09/18,659.0,911281.0,654.6315650710118,645.3667740796193,626.3877783303202,16.904174267665752,70.13115644770528,70.52162943352234,74.8230228866836
101/09/19,656.0,1031782.0,655.7543767140079,647.472311733016,628.8194876895263,17.253904222830535,64.25512852275672,64.87156247949109,71.50586941761942
101/09/20,654.0,596773.0,655.4195844760053,648.6852597775134,630.8141424826397,17.377346837239163,60.21872659259027,58.7238987958512,67.24521254369668
101/09/21,653.0,1215673.0,655.6130563173368,649.9043831479278,632.7515161378212,17.33245087181264,58.031461765644046,53.434980149615086,62.64180174566948
101/09/24,652.0,622410.0,654.6587042115578,650.3786526232731,634.2898610502964,17.083719012045446,55.60772112408146,47.16178163820493,57.4817950431813
101/09/25,636.0,1521975.0,649.6058028077052,648.5655438527275,634.6906409695044,16.441955786280968,30.860487888605412,35.04479136240689,50.00279381625649
101/09/26,596.0,3299177.0,634.1538685384702,641.0129532106063,632.2721301256964,14.901729246006742,13.215934220474013,23.363194241604592,41.12292729137253
101/09/27,607.0,1970750.0,623.7692456923135,634.6774610088386,630.0204278083352,12.852790036906075,26.99112135083679,22.748458608327113,34.99810439702406
101/10/01,593.0,2104028.0,613.3461637948757,627.6478841740321,627.1342410538479,10.384960653561714,21.724579983237046,20.204398762140556,30.066869185396225
101/10/02,610.0,1899785.0,611.3974425299172,624.2899034783601,625.6239148189366,8.041166254734078,39.05300220155672,25.097506151504557,28.410414840765668
101/10/03,612.0,1036121.0,611.5149616866114,622.1999195653001,624.5566906020953,5.961578796428226,40.900070265973525,29.134771542863504,28.65186707479828
101/10/04,610.0,1044653.0,610.5933077910743,619.9582663044167,623.340791325011,4.092758033023732,39.464838117630066,31.051088005319855,29.451607384972135
101/10/05,625.0,1839539.0,614.1455385273829,620.1735552536805,623.179961223087,2.6729252325376853,53.994369214126436,40.18124481739938,33.028153195781215
101/10/08,612.0,1536570.0,613.7636923515886,618.9779627114004,622.3968872828495,1.454555271740326,43.20867350266709,41.20191095934734,35.75273911696993
101/10/09,602.0,1616745.0,610.5091282343924,616.4816355928336,620.9817421072457,0.2636229145098417,36.481792379430956,43.764236935861184,38.42323838993368
101/10/11,611.0,1319080.0,609.006085489595,614.7346963273613,619.8293004066884,-0.808022484257535,45.62441001196257,52.139120920203744,42.995199233357035
101/10/12,612.0,874634.0,609.5873903263966,614.0705802728011,619.1308926830969,-1.6584804694652007,46.64831393704027,58.463117650506206,48.15117203907342
101/10/15,613.0,723303.0,611.1415935509311,614.1004835606676,618.7554393997817,-2.2577755433949824,47.82722331548517,60.544039217984526,52.28212776537712
101/10/16,617.0,790755.0,612.7610623672874,614.4170696338897,618.5434825228755,-2.6315030125131424,52.8302944345338,65.85288889042106,56.80571480705843
101/10/17,608.0,992628.0,612.507374911525,614.0142246949081,618.0401377134235,-2.9103850137136016,41.964955930453215,60.568592593614035,58.060007402576964
101/10/18,611.0,1058684.0,612.3382499410167,613.6785205790901,617.5755117354679,-3.10770624224644,46.376356927134566,59.986904866330924,58.70230655716162
101/10/19,605.0,964610.0,610.5588332940112,612.5654338159085,616.7620108327396,-3.3254803971633833,39.221211508490086,54.13268405230142,57.17909905554155
101/10/22,596.0,1159640.0,605.6225555293407,609.762861513257,615.1457023071442,-3.736952476508152,30.696446084445,41.138961085372664,51.832386398818585
101/10/23,593.0,1122347.0,602.2483703528939,607.3857179277142,613.6344944373639,-4.2393172831364625,28.241150361751636,29.44617607711713,44.370316291584764
101/10/24,592.0,964539.0,598.9989135685959,604.9047649397618,612.0087640960281,-4.812253657762441,27.36560089089108,24.135288555915924,37.62530704636182
101/10/25,595.0,1403660.0,598.3326090457306,603.5873041164681,610.854243780949,-5.303190859106133,34.65834443689358,23.297399577817824,32.849337890180486
101/10/26,616.0,4449319.0,604.1384060304871,605.6144200970567,611.2308404131837,-5.365836750510307,64.55351572794547,40.97019620977329,35.556290663378086
101/10/29,610.0,1315203.0,607.0089373536581,606.8036834142139,611.3476988429388,-5.201472486153235,55.80042168109357,47.488902736340094,39.533828021032086
101/10/30,620.0,1295280.0,611.5892915691054,609.128069511845,612.0709527780974,-4.749754642173081,65.22972858421001,58.48853678357633,45.8520642752135
101/11/01,633.0,1271610.0,617.4761943794036,612.4817245932041,613.3924179490131,-3.981942384900248,72.8696785714156,70.936802300162,54.213643616863
101/11/02,631.0,703894.0,621.4841295862691,615.3181038276701,614.6314627221659,-3.048225686819351,69.53609542355686,77.84675708899688,62.0913481075743
101/11/05,615.0,1299995.0,619.5727530575127,615.3900865230585,614.7175040512301,-2.3040640550898055,48.316702383331766,71.3422825037757,65.1749929063081
