108/10/07,12115543,986594241,79.80,82.20,79.60,81.70,+2.50,6274
108/10/04,19478546,1553569525,80.20,80.40,79.00,79.20,-0.70,8455
108/10/03,18015357,1443244760,80.60,81.20,79.50,79.90,-2.10,8512
108/10/02,11600664,952809448,82.80,82.90,81.20,82.00,-1.10,5722
108/10/01,14509189,1193390787,82.40,83.10,81.10,83.10,+2.60,7470
108/09/27,23454824,1911073890,81.80,82.40,80.50,80.50,-3.80,12659
108/09/26,18040347,1507951396,85.30,85.60,82.20,84.30,-0.70,8108
108/09/25,9968445,840649871,84.50,85.00,83.50,85.00,-0.40,5291
108/09/24,15586754,1331304608,85.50,86.70,84.50,85.40,+0.40,8631
108/09/23,16248561,1368643231,83.40,85.30,82.50,85.00,+2.10,8761
108/09/20,10494918,865590872,82.00,82.90,81.60,82.90,+1.50,5149
108/09/19,9787935,798375684,82.60,83.00,80.80,81.40,-0.70,5275
108/09/18,23282170,1918579560,82.00,83.40,81.60,82.10,+0.10,10490
108/09/17,35519090,2904620420,79.50,83.30,79.00,82.00,+3.90,17535
108/09/16,18250310,1426965985,77.10,79.40,76.40,78.10,+0.30,9169
108/09/12,8852045,688053269,77.50,78.00,77.50,77.80,+0.90,4797
108/09/11,8286510,636341251,77.30,77.30,76.40,76.90,+0.40,3537
108/09/10,16330218,1252588659,76.80,77.60,76.20,76.50, 0.00,5923
108/09/09,11530703,885660720,78.30,78.30,76.20,76.50,-0.60,5219
108/09/06,19900218,1534619729,77.90,78.50,76.30,77.10,+0.20,10076
108/09/05,51735888,3930350482,73.90,77.20,73.90,76.90,+3.90,20041
108/09/04,23168472,1696937156,72.50,73.90,72.50,73.00,+1.80,9805
108/09/03,8098390,578046592,72.10,72.40,70.80,71.20,-0.60,4394
108/09/02,11808827,844836681,71.20,72.00,70.60,71.80,+1.40,4987
108/08/30,27476327,1945601922,71.80,72.10,70.00,70.40,-0.50,10411
108/08/29,22627899,1613739400,72.30,73.00,70.60,70.90,-2.60,10300
108/08/28,12982225,945889870,72.50,73.50,72.00,73.50,+1.10,5806
108/08/27,15832553,1143755011,72.10,72.70,71.50,72.40,+1.30,5796
108/08/26,11791814,834277469,70.00,71.80,69.70,71.10,-0.40,6347
108/08/23,10354473,737391708,71.50,71.50,70.70,71.50,+1.20,5224
108/08/22,8639442,608586915,70.90,70.90,70.00,70.30,+0.10,4457
108/08/21,11580639,810459330,69.70,70.50,69.30,70.20,+0.60,6971
108/08/20,20625510,1451213771,72.20,72.20,69.20,69.60,-1.90,10178
108/08/19,10515560,749618570,72.40,72.40,70.80,71.50,+0.20,5679
108/08/16,15702821,1121644216,72.00,72.40,70.40,71.30,-0.10,7703
108/08/15,21743656,1551329796,71.50,72.30,70.40,71.40,-1.10,9932
108/08/14,31856494,2289860688,71.60,72.50,70.70,72.50,+3.70,15026
108/08/13,14731674,1012639754,69.00,69.70,67.90,68.80,-0.50,6940
108/08/12,21444982,1477559130,67.40,69.70,67.30,69.30,+1.20,8888
108/08/08,28102842,1928148676,68.50,69.90,68.10,68.10,-1.70,13375
108/08/07,17170273,1207772438,70.50,71.30,69.80,69.80,+0.60,8212
108/08/06,29157084,2008976841,68.10,69.80,68.10,69.20,-1.70,14113
108/08/05,22004093,1574235468,72.70,73.20,70.70,70.90,-1.40,10037
108/08/02,34296753,2481914107,72.70,73.40,71.80,72.30,-1.80,14265
108/08/01,23291150,1706508742,72.00,74.10,71.50,74.10,+0.10,10850
108/07/31,31822594,2350606256,76.00,76.00,72.80,74.00,-1.80,15497
108/07/30,32283921,2423778598,76.30,77.00,73.40,75.80,+1.00,15517
108/07/29,27592028,2082481042,76.20,76.50,74.80,74.80,-2.20,12408
108/07/26,34412833,2620499746,74.30,77.80,74.30,77.00,+0.50,15523
108/07/25,42286443,3161315711,72.60,76.60,72.30,76.50,+4.70,20089
108/07/24,28900151,2057194088,71.70,72.00,70.30,71.80,-0.50,12831
108/07/23,41862778,3020022941,71.30,72.90,71.30,72.30,+2.50,21019
108/07/22,39338075,2735580408,68.60,70.00,68.60,69.80,+2.10,19693
108/07/19,15351772,1035900316,67.90,68.40,66.80,67.70,+1.00,7045
108/07/18,20655496,1393622361,68.50,68.80,66.70,66.70,-1.00,8445
108/07/17,26744506,1804671393,66.60,68.90,66.40,67.70,-0.20,11659
108/07/16,34205853,2341439103,69.90,70.00,67.30,67.90,-2.00,16453
108/07/15,42377590,2905472582,66.80,69.90,66.80,69.90,+3.20,17581
108/07/12,68227197,4585627072,66.00,69.20,65.80,66.70,+1.30,27924
108/07/11,36232234,2364564632,65.60,65.60,64.70,65.40,+1.00,13190
108/07/10,35834712,2293082619,64.00,64.50,63.20,64.40,+1.60,15885
108/07/09,20813380,1288545542,61.70,62.80,60.80,62.80,+1.80,9246
108/07/08,19246116,1181536976,61.90,63.00,60.30,61.00,-1.00,9658
108/07/05,22847130,1398476660,59.80,62.30,59.70,62.00,+2.80,11504
108/07/04,39507055,2331467370,58.10,59.80,58.10,59.20,X0.00,13579
108/07/03,29251850,1917616003,66.00,66.30,64.70,65.20,-1.10,12606
108/07/02,19465379,1290985192,66.20,66.70,66.20,66.30,+0.30,8214
108/07/01,22547008,1485942928,66.00,66.20,65.30,66.00,+1.50,9971
108/06/28,12518923,806177200,64.60,64.60,64.10,64.50,+0.40,5240
108/06/27,13649724,872970983,63.60,64.30,63.60,64.10,+0.40,5495
108/06/26,12692418,810531152,64.50,64.90,63.20,63.70,+0.40,6412
108/06/25,18486563,1180982590,63.30,64.60,63.30,63.30,+0.20,8179
108/06/24,8805308,556369549,63.20,63.50,62.60,63.10,+0.10,4365
108/06/21,13248311,835094593,62.50,63.40,62.50,63.00,+0.70,6007
108/06/20,10055258,627133988,62.10,62.80,61.80,62.30,+0.20,5550
108/06/19,18375034,1137877208,61.50,62.30,61.40,62.10,+1.20,8956
108/06/18,6322391,385047293,61.20,61.30,60.70,60.90, 0.00,3138
108/06/17,6864361,419697581,60.90,61.50,60.80,60.90,+0.10,3598
108/06/14,7363811,449017971,60.90,61.20,60.80,60.80,-0.10,4301
108/06/13,7434822,452126842,60.50,61.20,60.10,60.90,+0.20,4890
108/06/12,11700569,704181774,59.80,60.70,59.70,60.70,+1.30,5429
108/06/11,10850960,646888086,59.50,59.90,59.30,59.40,+0.10,5431
108/06/10,14247770,846787303,60.00,60.00,59.10,59.30,+0.10,6716
108/06/06,17602215,1043708324,60.10,60.20,58.80,59.20,-1.30,8549
108/06/05,11789943,720702423,61.60,62.20,60.50,60.50,-0.40,6207
108/06/04,12908283,787527605,61.20,61.20,60.80,60.90,-1.00,6083
108/06/03,9794165,602966891,61.00,62.20,60.60,61.90,+0.30,4973
108/05/31,18070150,1106527453,60.40,61.80,60.30,61.60,+1.60,8501
108/05/30,14206511,839397646,58.40,60.00,58.20,60.00,+2.00,7144
108/05/29,24612819,1441949121,59.70,60.00,57.80,58.00,-2.90,12298
108/05/28,15135270,920926527,61.30,61.30,60.30,60.90,+0.40,2786
108/05/27,6250988,379195761,60.10,61.50,60.10,60.50,+0.70,3384
108/05/24,8537404,511655466,60.00,60.30,59.60,59.80,-0.40,4040
108/05/23,10796795,648815087,60.30,60.40,59.90,60.20,-0.60,4529
108/05/22,5028086,307627760,61.50,61.60,60.80,60.80,-0.70,2799
108/05/21,9656487,590348788,60.80,61.50,60.70,61.50,+0.60,5114
108/05/20,7071609,430516349,60.60,61.30,60.60,60.90,+0.30,3801
108/05/17,9301090,566582662,61.20,61.60,60.60,60.60,-0.40,4161
108/05/16,10908341,670657865,62.20,62.20,61.00,61.00,-1.00,4849
108/05/15,12024976,747706294,61.70,62.90,61.70,62.00,+0.50,5673
108/05/14,15948487,965812334,59.90,61.50,59.20,61.50,+0.40,7722
108/05/13,15245100,947788971,63.50,64.10,61.00,61.10,-2.70,7573
108/05/10,11167354,718571779,64.40,65.30,63.30,63.80,-0.40,4722
108/05/09,12002963,778215603,65.50,65.70,64.00,64.20,-1.70,5691
108/05/08,6725366,441437196,65.20,66.00,65.00,65.90,-0.30,3505
108/05/07,8825884,582406044,65.30,66.40,65.30,66.20,+1.20,4309
108/05/06,16025939,1044947596,66.00,66.00,64.70,65.00,-1.70,6621
108/05/03,11720593,776441828,65.70,66.80,65.60,66.70,+1.00,5030
108/05/02,8987839,592263400,65.80,66.40,65.50,65.70,+0.30,4245
108/04/30,13400509,872970263,64.60,65.80,64.60,65.40,+0.70,4901
108/04/29,12882550,841150720,66.00,66.40,64.50,64.70,-1.30,5547
108/04/26,13586170,893523920,65.50,66.20,64.70,66.00,+0.50,6725
108/04/25,30878279,2043034262,65.40,67.00,64.80,65.50,+0.10,13377
108/04/24,20393870,1329407405,64.90,65.80,64.60,65.40,+0.50,8685
108/04/23,20277109,1310629946,64.40,65.40,63.40,64.90,+1.10,8484
108/04/22,5236253,334861019,64.10,64.30,63.70,63.80,+0.10,2423
108/04/19,10400185,664205956,63.50,64.40,63.30,63.70,+0.60,4753
108/04/18,14365278,914233118,64.20,64.30,62.80,63.10,-0.80,6776
108/04/17,30731797,1947023061,62.70,64.20,61.70,63.90,+1.20,12553
108/04/16,11865037,740910895,61.90,62.70,61.80,62.70,+1.00,5610
108/04/15,9142519,562545494,61.10,61.90,60.80,61.70,+1.20,4283
108/04/12,16381082,994749666,61.20,61.50,60.40,60.50,-1.10,7523
108/04/11,11718119,729631846,62.90,63.20,61.60,61.60,-0.90,5463
108/04/10,7158327,446800021,62.50,62.70,62.10,62.50,-0.10,4067
108/04/09,6550014,410898352,63.30,63.30,62.50,62.60,-0.40,3390
108/04/08,17620595,1105069085,62.30,63.20,62.10,63.00,+0.70,8349
108/04/03,10009165,621794456,62.00,62.50,61.70,62.30,+0.60,4438
108/04/02,17245786,1066411875,61.50,62.40,61.20,61.70,+0.70,8053
108/04/01,12307945,759383116,62.30,62.40,61.00,61.00,-0.40,5801
108/03/29,7956707,486623840,60.80,61.40,60.80,61.40,+0.60,3433
108/03/28,8785986,532288431,60.60,60.90,60.20,60.80,-0.30,3959
108/03/27,7890559,482312192,61.20,61.60,60.70,61.10,+0.10,4100
108/03/26,11561456,707911338,61.70,61.80,60.70,61.00,-0.10,5080
108/03/25,16153328,990137366,62.00,62.00,60.80,61.10,-2.00,7146
108/03/22,25952791,1654332581,64.00,64.70,63.00,63.10,+0.30,12146
108/03/21,31767529,1992538983,63.60,63.60,62.10,62.80,+2.20,13394
108/03/20,11681383,702156821,59.90,60.70,59.70,60.60,+0.90,6231
108/03/19,8481778,507118980,59.80,60.10,59.60,59.70,+0.20,5826
108/03/18,18115845,1079786700,60.50,60.50,59.00,59.50,-0.60,9641
108/03/15,17799873,1074437399,60.50,60.90,60.10,60.10,-0.20,4952
108/03/14,11313247,681158034,60.10,60.60,60.00,60.30,+0.20,5414
108/03/13,12592661,761896640,60.80,61.20,60.10,60.10,-0.70,5287
108/03/12,9693905,592686669,61.10,61.60,60.80,60.80,+0.40,4997
108/03/11,10884403,659404244,60.50,60.90,60.30,60.40,-0.10,5826
108/03/08,14312939,859000379,59.30,60.80,59.00,60.50,+0.50,7168
108/03/07,19288813,1166444073,60.80,61.40,60.00,60.00,-1.40,10388
108/03/06,24728202,1522056662,61.10,62.30,61.10,61.40,-1.70,13955
108/03/05,21244500,1352364100,63.90,64.40,63.10,63.10,-1.70,11556
108/03/04,53442888,3475221920,67.10,67.10,63.90,64.80,+2.60,22874
108/02/27,18697279,1171483434,62.80,63.20,62.20,62.20,+0.20,8321
108/02/26,17603559,1094891876,61.60,62.70,61.60,62.00,+0.40,7200
108/02/25,12931141,797812367,61.70,62.30,61.30,61.60,+0.70,5582
108/02/22,18279189,1127787129,60.70,62.50,60.40,60.90,+0.10,8652
