20120502,38841300,32897643,5943657,284000,272000,12000,731000,1774000,1043000,6686657
20120503,19686790,12947290,6739500,430000,491105,-61105,-164000,456000,620000,6514395
20120504,22497836,34115841,-11618005,116000,272000,-156000,685000,893000,208000,-11089005
20120507,17362889,40872998,-23510109,616000,0,616000,1019000,1301000,282000,-21875109
20120508,14859000,39342370,-24483370,675000,272000,403000,1345846,2025000,679154,-22734524
20120509,20271000,34700290,-14429290,1275000,27000,1248000,1043564,1239000,195436,-12137726
20120510,20819000,19733581,1085419,1458000,425000,1033000,-683000,841000,1524000,1435419
20120511,16150090,25241120,-9091030,1141000,200000,941000,1453000,1787000,334000,-6697030
20120514,10816000,10808000,8000,494000,0,494000,590000,953000,363000,1092000
20120515,21732813,23841498,-2108685,791000,45000,746000,2158000,3088000,930000,795315
20120516,28142815,57587794,-29444979,367000,2349000,-1982000,7107000,7366000,259000,-24319979
20120517,25934694,18105636,7829058,128000,550000,-422000,-808000,72000,880000,6599058
20120518,18633796,50324544,-31690748,606000,438000,168000,2245000,2478000,233000,-29277748
20120521,13565000,22759529,-9194529,101000,620000,-519000,1692000,1850000,158000,-8021529
20120522,15034727,29618260,-14583533,40000,926000,-886000,-63000,203000,266000,-15532533
20120523,12753613,47889351,-35135738,128000,4350000,-4222000,679000,2116000,1437000,-38678738
20120524,15895598,21924688,-6029090,247000,2363000,-2116000,2473695,3010000,536305,-5671395
20120525,11674000,21120105,-9446105,677000,9000,668000,354000,717000,363000,-8424105
20120528,18200462,18013083,187379,962000,2000,960000,-2087000,757000,2844000,-939621
20120529,23194000,24501441,-1307441,577000,2846000,-2269000,14000,662000,648000,-3562441
20120530,51764600,60367192,-8602592,188000,4065846,-3877846,-810000,1022000,1832000,-13290438
20120531,65960401,59944388,6016013,570000,2535000,-1965000,-128000,833000,961000,3923013
20120601,24691100,50185629,-25494529,69000,1279000,-1210000,1158000,1726000,568000,-25546529
20120604,29137000,44988734,-15851734,453000,2052000,-1599000,3200088,4261088,1061000,-14250646
20120605,19402000,24997614,-5595614,589000,2115000,-1526000,254000,637000,383000,-6867614
20120606,13563191,27814717,-14251526,26000,2168000,-2142000,425000,558000,133000,-15968526
20120607,41424993,27237600,14187393,0,4125000,-4125000,-371000,345000,716000,9691393
20120608,15097226,30998085,-15900859,550000,329000,221000,206000,557000,351000,-15473859
20120611,32928000,23232000,9696000,201000,2156000,-1955000,-430000,363000,793000,7311000
20120612,28325000,32588000,-4263000,607000,1650000,-1043000,-708000,242000,950000,-6014000
20120613,25166000,25010920,155080,298000,0,298000,-521000,156000,677000,-67920
20120614,20676000,27433231,-6757231,213000,30000,183000,644000,808000,164000,-5930231
20120615,69288000,84566630,-15278630,40000,2652000,-2612000,1139000,1266000,127000,-16751630
20120618,22508800,10244751,12264049,0,699000,-699000,-281000,443000,724000,11284049
20120619,20428668,22888675,-2460007,450000,231000,219000,805000,836000,31000,-1436007
20120620,29709403,20402513,9306890,1145000,1313000,-168000,152000,574000,422000,9290890
20120621,16267658,23381979,-7114321,108000,261000,-153000,299000,995000,696000,-6968321
20120622,22074933,24595000,-2520067,326000,94000,232000,811000,1433000,622000,-1477067
20120625,17282000,34225373,-16943373,0,581000,-581000,399000,1035000,636000,-17125373
20120626,12537000,32346638,-19809638,913,170000,-169087,3121000,3678000,557000,-16857725
20120627,20717768,26628480,-5910712,1248000,0,1248000,1339000,1940000,601000,-3323712
20120628,25657469,20778014,4879455,345000,401000,-56000,1125000,1572000,447000,5948455
20120629,36640000,33185956,3454044,25000,252000,-227000,3762000,4382000,620000,6989044
20120702,27807140,30091381,-2284241,4688000,693000,3995000,399000,2483000,2084000,2109759
20120703,30878718,12591342,18287376,794000,80000,714000,3405000,5012000,1607000,22406376
20120704,11639565,10906860,732705,100000,65000,35000,-8253000,164000,8417000,-7485295
20120705,17819000,6102988,11716012,70000,529000,-459000,-2221000,349000,2570000,9036012
20120706,30118000,20072441,10045559,166000,823000,-657000,287000,555000,268000,9675559
20120709,30437900,40975300,-10537400,49000,568000,-519000,128000,272000,144000,-10928400
20120710,15747000,30222995,-14475995,10000,80000,-70000,993000,1260000,267000,-13552995
20120711,23597000,51978192,-28381192,159000,824000,-665000,830000,1318000,488000,-28216192
20120712,18411187,56612062,-38200875,0,2006000,-2006000,1961000,2355000,394000,-38245875
20120713,21691383,40637285,-18945902,19000,468904,-449904,1704000,2414000,710000,-17691806
20120716,23220095,37215930,-13995835,360000,28000,332000,15790,239000,223210,-13648045
20120717,19939600,44084977,-24145377,164000,266000,-102000,1720000,1982000,262000,-22527377
20120718,13265149,28367452,-15102303,2282000,0,2282000,-2506000,837000,3343000,-15326303
20120719,47991000,23611060,24379940,193000,0,193000,-1524000,1034000,2558000,23048940
20120720,30668000,40770755,-10102755,370000,305000,65000,-735000,242000,977000,-10772755
20120723,15811000,45673750,-29862750,652000,1014000,-362000,474000,1558000,1084000,-29750750
20120724,20076274,33124761,-13048487,275000,166000,109000,2662000,2808000,146000,-10277487
20120725,48267620,63425733,-15158113,394000,0,394000,-97000,612000,709000,-14861113
20120726,39328000,23872771,15455229,1942000,0,1942000,-1024000,224000,1248000,16373229
20120727,61871340,20579445,41291895,1119000,22000,1097000,-1560000,321000,1881000,40828895
20120730,44709452,22593781,22115671,81000,1500000,-1419000,-1627000,85000,1712000,19069671
20120731,60000001,32959989,27040012,198000,90000,108000,-1065000,582000,1647000,26083012
20120801,29946000,36993589,-7047589,126000,792000,-666000,278000,546000,268000,-7435589
20120803,42079053,34858422,7220631,0,264000,-264000,-167000,334000,501000,6789631
20120806,50707000,32233896,18473104,166000,33000,133000,-247000,376000,623000,18359104
20120807,37329434,15841925,21487509,20000,738000,-718000,-538000,165000,703000,20231509
20120808,31002033,26101673,4900360,319000,260000,59000,-59000,309000,368000,4900360
20120809,45502360,13189863,32312497,811000,528000,283000,21000,862000,841000,32616497
20120810,22027100,16795000,5232100,327000,629000,-302000,1325000,1561000,236000,6255100
20120813,21136000,7907635,13228365,113000,225000,-112000,391000,827000,436000,13507365
